2024-11-19 10:54:25 | INF | Servicio Iniciado... | Battery %:  | Status:  | 
2024-11-19 10:54:39 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:54:35 | Carga: 6.2122173309326172% | Memoria: 2099MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:54:46 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:54:45 | Carga: 7.7624225616455078% | Memoria: 2068MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:54:56 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:54:55 | Carga: 6.8365201950073242% | Memoria: 2075MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:55:30 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:55:26 | Carga: 2.1237711906433105% | Memoria: 2054MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:55:30 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:55:29 | Carga: 2.2215559482574463% | Memoria: 2054MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:55:53 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:55:52 | Carga: 3.1699600219726562% | Memoria: 2063MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:55:53 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:55:52 | Carga: 3.1699600219726562% | Memoria: 2063MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:56:03 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:56:02 | Carga: 5.9873876571655273% | Memoria: 1961MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:56:13 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:56:12 | Carga: 23.21605110168457% | Memoria: 1465MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:56:23 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:56:22 | Carga: 2.8054268360137939% | Memoria: 2232MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:56:33 | INF | Porcentaje de batería: 100.0% | Estado: High, Charging | Hora: 10:56:32 | Carga: 1.6052399873733521% | Memoria: 2222MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:56:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 10:56:42 | Carga: 0.59719890356063843% | Memoria: 2301MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:56:53 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 10:56:52 | Carga: 0.7885100245475769% | Memoria: 2342MB | Battery %: 100.0 | Status:  | 
2024-11-19 10:57:03 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 10:57:02 | Carga: 1.4673805236816406% | Memoria: 2304MB | Battery %: 100.0 | Status:  | 
